id,name,model,health,level,guard,attackBonus,walkSpeed,runSpeed,attackRange,chaseRange,attackCooldown,attackImpactDelay,attackDamageTextDelay,damageRoll,behavior,animIdle,animWalk,animRun,animAttack,animAttackIdle,animHit,animDie,animDead,weapon,weaponDropChance,weaponBone,deathPlaysHit,material,dungeonMinDepth,dungeonMaxDepth,dungeonWeight,dungeonAggressive,corpseGroundOffset,deathFadeSeconds,scale,boss,sharedAnims,hitDebuff,weaponOffset,weaponOffsetX,weaponOffsetZ,weaponRotation,hoverRadius,corpseAutoGround,deathSound,drops
scp939,Stalker,monsters/scp939.glb,,3,10,,1.0,8.0,3.0,25.0,4100,700,700,,timid,939_Idle,939_Walking,939_Running,939_Attack1,939_Idle,939_AddStagger1,939_DieProne,939_DieProne,,,,false,flesh,5,11,2,true,,1.0,,,,,,,,,,false,/sounds/scp939-death.ogg,
kobold,Kobold,monsters/kobold.glb,,1,8,,0.7,3.2,2.0,20.0,1900,450,450,,timid,Idle_Loop_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Idle_Loop_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,0.1,RightHand,true,leather,1,4,2,true,,,,,,,,,,,,false,/sounds/kobold-death.ogg,apple:0.01
goblin,Goblin,monsters/goblin.glb,,2,9,,0.8,3.5,2.0,22.0,1850,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,0.1,RightHand,true,leather,3,8,3,true,,,,,,,,,,,,false,/sounds/goblin-death.ogg,apple:0.01
orc,Orc,monsters/orc.glb,,4,11,,1.0,4.5,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.1,RightHand,true,leather,5,13,2,true,,,,,,,,,,,,false,/sounds/orc-death.ogg,cheese:0.01
orc_female,Female Orc,monsters/orc_female.glb,,4,10,,1.0,4.5,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.1,RightHand,true,leather,5,12,1,true,,,,,,,,,,,,false,/sounds/orc-female-death.ogg,cheese:0.01
hobgoblin,Hobgoblin,monsters/hobgoblin.glb,,5,12,,1.5,4.6,2.2,26.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,hit,dying,dying,notched_iron_sword,0.1,RightHand,false,leather,6,15,2,true,-0.05,,,,true,,0.12,,,,,,/sounds/hobgoblin-death.ogg,jerky:0.01
gnoll,Gnoll,monsters/gnoll.glb,,6,13,,1.5,5.2,2.3,28.0,1700,750,850,2d6,brave,idle1,walk,run,claw1|claw2,combat_idle,hit,dying,dying,,,,false,leather,7,20,2,true,-0.05,,,,true,bleed,,,,,,,/sounds/gnoll-death.ogg,
bugbear,Bugbear,monsters/bugbear.glb,,7,14,,1.9,5.4,2.4,28.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,hit,dying,dying,morningstar,0.1,RightHand,false,leather,8,20,2,true,-0.05,,,,true,,0.2,,,,,,/sounds/bugbear-death.ogg,
ogre,Ogre,monsters/ogre.glb,,8,15,,1.8,5.1,2.6,28.0,1900,540,750,2d8,brave,idle1,walk,run,slash1,combat_idle,hit,dying,dying,greatclub,0.1,RightHand,false,flesh,9,20,2,true,-0.05,,,,true,,0.24,,,,,,/sounds/ogre-death.ogg,
troll,Troll,monsters/troll.glb,,9,16,,2.3,6.5,2.8,28.0,1800,750,850,2d10,brave,idle1,walk,run,claw1|claw2,combat_idle,hit,dying,dying,,,,false,flesh,10,20,2,true,-0.05,,,,true,bleed,,,,,,,/sounds/troll-death.ogg,
stone_golem,Stone Golem,monsters/stone_golem.glb,,10,17,,1.5,4.4,2.0,28.0,1900,600,700,2d10,brave,idle,walk,run,slap,idle,,dead,dead,,,,false,stone,11,20,2,true,,,,,,,,,,,0.9,false,/sounds/stone-golem-death.ogg,
orc_boss,Orc Warlord,monsters/orc.glb,120,10,13,,1.0,5.0,2.2,28.0,1700,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,iron_sword,1.0,RightHand,true,leather,,,,,,,1.3,true,,,,,,,,,/sounds/orc-boss-death.ogg,
goblin_boss,Goblin Chief,monsters/goblin.glb,,5,11,,0.8,4.0,2.0,25.0,1750,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,1.0,RightHand,true,leather,,,,,,,1.4,true,,,,,,,,false,/sounds/goblin-death.ogg,apple:0.05
ogre_boss,Ogre Warlord,monsters/ogre.glb,140,10,17,,1.8,5.6,2.8,28.0,1800,540,750,,brave,idle1,walk,run,slash1,combat_idle,hit,dying,dying,steel_longsword,1.0,RightHand,false,flesh,,,,,-0.05,,1.2,true,true,,0.24,,,,,,/sounds/ogre-boss-death.ogg,
